"Pax","Issue.Date","Sector","Cls","Net"
1,12,4,6,3200
1,12,1,6,2795
1,12,4,6,3695
1,12,4,6,3200
1,12,1,6,2995
1,12,1,6,2694
1,12,1,6,2694
1,12,1,6,2995
1,12,1,6,2694
1,12,2,6,3195
1,12,6,6,2799
1,12,5,6,3200
1,12,4,6,3695
1,12,5,6,3195
1,12,5,6,3195
1,12,1,6,2694
1,12,4,6,3195
1,12,5,6,3200
1,12,5,6,3200
1,12,5,6,3200
1,12,5,6,3200
1,12,5,6,3200
1,12,1,6,3195
1,12,1,6,3195
1,12,6,2,4829
1,12,6,2,4829
1,12,6,2,4829
1,12,6,2,4829
2,12,6,2,4829
1,12,4,6,3200
1,12,2,6,2995
1,12,2,6,2995
1,12,1,6,2694
1,12,3,6,2295
1,12,6,5,3599
1,12,6,6,3350
1,12,6,6,3350
1,12,6,6,3350
1,12,3,6,2494
1,12,4,6,3200
1,12,4,6,3195
1,12,2,6,2995
1,12,3,6,2295
1,12,3,6,2295
2,12,3,6,2295
1,12,5,6,3195
1,12,5,6,3195
1,12,4,6,3200
1,12,4,6,3200
1,12,4,6,3200
1,12,4,6,3200
1,12,3,6,2494
1,12,1,6,3195
1,12,1,6,3195
1,12,4,6,3195
1,12,3,6,2295
1,12,5,6,3700
1,12,2,6,3200
1,12,3,6,2295
1,12,3,6,2494
1,12,3,6,2494
1,12,1,6,3495
1,12,5,6,3700
1,12,3,6,2295
1,12,3,6,2494
1,12,3,6,2295
1,12,3,6,2494
1,12,4,6,3195
1,12,2,6,3195
1,12,5,6,3195
1,12,5,6,3495
1,12,2,6,3195
1,12,4,6,3695
1,12,4,6,3695
1,12,5,6,3495
1,12,5,6,3495
1,12,2,6,3195
1,12,5,6,3495
1,12,1,6,3495
1,12,1,6,3495
1,12,2,6,3195
1,12,2,6,3195
1,12,4,6,3195
1,12,3,6,2494
1,12,4,6,3695
1,12,4,6,3195
1,12,4,6,3195
1,12,4,6,3195
1,12,4,6,3195
1,12,4,6,3195
1,12,4,6,3195
1,12,5,6,3200
1,12,4,6,3195
1,12,4,6,3195
1,12,4,6,3195
1,12,2,6,2699
1,12,3,6,2200
1,12,4,6,3195
1,12,1,6,3195
1,12,2,6,2699
1,12,1,6,3195
1,12,4,6,3195
1,12,6,4,3880
1,12,4,6,3195
2,12,4,6,3195
1,12,3,6,2200
1,12,5,6,3094
1,12,5,6,3094
1,12,3,6,2200
1,12,3,6,2200
1,12,6,5,3599
1,12,5,6,3094
1,12,5,6,3094
1,12,1,6,3195
1,12,5,6,3094
1,12,4,6,3195
1,12,4,6,3195
1,12,5,6,3094
1,12,4,6,3195
1,12,6,3,4370
1,12,3,6,2200
1,16,6,3,4370
1,16,3,6,2200
1,16,2,6,3195
2,16,2,6,3195
1,16,1,6,3195
1,16,1,6,3195
1,16,4,6,3595
2,16,4,6,3595
